Дата;Сумма;Счёт;Предмет;Источник;Раздел;Направление;Регулярность;Период;Платеж. Остаток;Платеж. Статус;Платеж. Договор;Платеж. Контрагент;Расход. Комментарий;Расход. Формат;Расход. Инструмент
01/01/2022;-4990;ИП Первова;Комиссии;Банковские операции;Офис по промо;ПРОМО;Разовый;Без периода;;;;;Пакет физлицам без комиссии ;Не выбрано;Комиссии
01/01/2022;-18500;Маша Первова (личный счет) ;Плакала;Леша Свик;Артисты;ПРОМО;Разовый;Без периода;;;;;Леша Свик - Плакала 3 - 3 блогера - коммерция;Не выбрано;TikTok Блогеры
01/01/2022;-12000;Маша Первова (личный счет) ;Снежинки;LEONA COOL;Артисты;ПРОМО;Разовый;Без периода;;;;;Leona Cool - Снежинки - 1 блогер - коммерция;Не выбрано;TikTok Блогеры
01/01/2022;-9500;Маша Первова (личный счет) ;Плакала;Леша Свик;Артисты;ПРОМО;Разовый;Без периода;;;;;Леша Свик - Плакала 3 - 2 блогера - коммерция;Не выбрано;TikTok Блогеры
01/01/2022;-5000;Маша Первова (личный счет) ;Fly Project - En Vogue;Warner;Лэйблы;ПРОМО;Разовый;Без периода;;;;;Fly Project - En Vogue - 1 блогер постоплата  - Warner ;Не выбрано;TikTok Блогеры
01/01/2022;-20000;Маша Первова (личный счет) ;Плакала;Леша Свик;Артисты;ПРОМО;Разовый;Без периода;;;;;Леша Свик - Плакала 3 - 2 блогера - коммерция;Не выбрано;TikTok Блогеры
01/02/2022;"-940,32";Баланс IT Карты;Хостинг;tt-media;IT;ПРОМО;Разовый;Без периода;;;;;Оплата хостинга tt-media;Не выбрано;IT карта
01/02/2022;"670326,7";VK-кабинет;Кэшбэк;Кэшбэк от VK-target;Офис по промо;ПРОМО;Разовый;Без периода;0;Полная оплата;;;;;
01/02/2022;"-690,35";Баланс IT Карты;Оплата хостинга;vkadds;IT;ПРОМО;Разовый;Без периода;;;;;Оплата хостинга vkadds;Не выбрано;IT карта
01/02/2022;-1200;Yandex-кошелек;Оставь меня во сне;Konan;Артисты;ПРОМО;Разовый;Без периода;;;;;Артисты/ KONAN - Оставь меня во сне/ Лайки/;Не выбрано;Лайки и Комментарии
01/02/2022;-31000;Qiwi-кошелек;Валя Карнавал х Артур Бабич х Аня Покров х Тим Сорокин - Друзья и Cheetos;mozaik;Артисты;ПРОМО;Разовый;Без периода;;;;;Источник: MOZAIK;;
Предмет: Валя Карнавал х Артур Бабич х Аня Покров х Тим Сорокин - Друзья и Cheetos (Телеграм/Киви);Не выбрано;Посев Телеграм ;;;;;;;;;;;;;
01/02/2022;-15000;Qiwi-кошелек;Валя Карнавал х Артур Бабич х Аня Покров х Тим Сорокин - Друзья и Cheetos;mozaik;Артисты;ПРОМО;Разовый;Без периода;;;;;Источник: MOZAIK;;
